,mota,idf1,num_switches,num_false_positives,num_misses
baseline,0.15152487961476724,0.28223967570306563,36,162,2445
hybride,0.15120385232744782,0.2813688212927757,37,161,2446
notre_hybride,0.15280898876404492,0.26298454522422093,32,162,2445
